,Place Name,Year,Period,Index (SA)
0,East North Central Division,1991,1,100.0
1,East North Central Division,1991,2,100.97
2,East North Central Division,1991,3,100.91
3,East North Central Division,1991,4,100.99
4,East North Central Division,1991,5,101.37
5,East North Central Division,1991,6,101.5
6,East North Central Division,1991,7,101.86
7,East North Central Division,1991,8,102.04
8,East North Central Division,1991,9,102.01
9,East North Central Division,1991,10,102.34
10,East North Central Division,1991,11,103.34
11,East North Central Division,1991,12,103.41
12,East North Central Division,1992,1,103.88
13,East North Central Division,1992,2,104.39
14,East North Central Division,1992,3,105.14
15,East North Central Division,1992,4,105.18
16,East North Central Division,1992,5,105.53
17,East North Central Division,1992,6,105.58
18,East North Central Division,1992,7,105.97
19,East North Central Division,1992,8,106.42
20,East North Central Division,1992,9,106.69
21,East North Central Division,1992,10,107.37
22,East North Central Division,1992,11,107.77
23,East North Central Division,1992,12,108.41
24,East North Central Division,1993,1,108.54
25,East North Central Division,1993,2,108.35
26,East North Central Division,1993,3,108.92
27,East North Central Division,1993,4,109.45
28,East North Central Division,1993,5,109.8
29,East North Central Division,1993,6,110.49
30,East North Central Division,1993,7,110.91
31,East North Central Division,1993,8,111.39
32,East North Central Division,1993,9,112.17
33,East North Central Division,1993,10,112.37
34,East North Central Division,1993,11,112.9
35,East North Central Division,1993,12,113.46
36,East North Central Division,1994,1,114.16
37,East North Central Division,1994,2,114.41
38,East North Central Division,1994,3,114.81
39,East North Central Division,1994,4,115.51
40,East North Central Division,1994,5,116.05
41,East North Central Division,1994,6,116.35
42,East North Central Division,1994,7,116.56
43,East North Central Division,1994,8,117.05
44,East North Central Division,1994,9,117.34
45,East North Central Division,1994,10,118.05
46,East North Central Division,1994,11,118.5
47,East North Central Division,1994,12,118.57
48,East North Central Division,1995,1,119.32
49,East North Central Division,1995,2,119.96
50,East North Central Division,1995,3,120.14
51,East North Central Division,1995,4,120.82
52,East North Central Division,1995,5,120.8
53,East North Central Division,1995,6,121.6
54,East North Central Division,1995,7,122.21
55,East North Central Division,1995,8,122.88
56,East North Central Division,1995,9,123.4
57,East North Central Division,1995,10,123.76
58,East North Central Division,1995,11,124.03
59,East North Central Division,1995,12,124.82
60,East North Central Division,1996,1,125.21
61,East North Central Division,1996,2,125.91
62,East North Central Division,1996,3,126.38
63,East North Central Division,1996,4,127.42
64,East North Central Division,1996,5,127.63
65,East North Central Division,1996,6,127.81
66,East North Central Division,1996,7,128.48
67,East North Central Division,1996,8,128.35
68,East North Central Division,1996,9,128.87
69,East North Central Division,1996,10,128.84
70,East North Central Division,1996,11,130.05
71,East North Central Division,1996,12,130.27
72,East North Central Division,1997,1,130.35
73,East North Central Division,1997,2,130.59
74,East North Central Division,1997,3,131.38
75,East North Central Division,1997,4,131.32
76,East North Central Division,1997,5,132.12
77,East North Central Division,1997,6,132.28
78,East North Central Division,1997,7,132.64
79,East North Central Division,1997,8,133.03
80,East North Central Division,1997,9,133.24
81,East North Central Division,1997,10,133.77
82,East North Central Division,1997,11,134.14
83,East North Central Division,1997,12,134.45
84,East North Central Division,1998,1,135.03
85,East North Central Division,1998,2,135.71
86,East North Central Division,1998,3,136.09
87,East North Central Division,1998,4,136.48
88,East North Central Division,1998,5,136.86
89,East North Central Division,1998,6,137.56
90,East North Central Division,1998,7,137.87
91,East North Central Division,1998,8,138.44
92,East North Central Division,1998,9,139.23
93,East North Central Division,1998,10,140.0
94,East North Central Division,1998,11,140.86
95,East North Central Division,1998,12,141.24
96,East North Central Division,1999,1,141.79
97,East North Central Division,1999,2,142.53
98,East North Central Division,1999,3,142.96
99,East North Central Division,1999,4,143.4
100,East North Central Division,1999,5,144.36
101,East North Central Division,1999,6,144.82
102,East North Central Division,1999,7,145.51
103,East North Central Division,1999,8,146.43
104,East North Central Division,1999,9,146.72
105,East North Central Division,1999,10,147.38
106,East North Central Division,1999,11,147.67
107,East North Central Division,1999,12,148.48
108,East North Central Division,2000,1,150.12
109,East North Central Division,2000,2,149.28
110,East North Central Division,2000,3,150.74
111,East North Central Division,2000,4,151.41
112,East North Central Division,2000,5,151.76
113,East North Central Division,2000,6,152.84
114,East North Central Division,2000,7,153.53
115,East North Central Division,2000,8,153.88
116,East North Central Division,2000,9,154.34
117,East North Central Division,2000,10,154.78
118,East North Central Division,2000,11,155.3
119,East North Central Division,2000,12,156.31
120,East North Central Division,2001,1,156.89
121,East North Central Division,2001,2,157.58
122,East North Central Division,2001,3,158.07
123,East North Central Division,2001,4,158.86
124,East North Central Division,2001,5,159.35
125,East North Central Division,2001,6,159.8
126,East North Central Division,2001,7,160.33
127,East North Central Division,2001,8,160.84
128,East North Central Division,2001,9,161.56
129,East North Central Division,2001,10,162.59
130,East North Central Division,2001,11,162.78
131,East North Central Division,2001,12,163.38
132,East North Central Division,2002,1,164.29
133,East North Central Division,2002,2,164.43
134,East North Central Division,2002,3,165.27
135,East North Central Division,2002,4,165.58
136,East North Central Division,2002,5,166.14
137,East North Central Division,2002,6,167.03
138,East North Central Division,2002,7,167.41
139,East North Central Division,2002,8,168.01
140,East North Central Division,2002,9,168.8
141,East North Central Division,2002,10,169.17
142,East North Central Division,2002,11,170.48
143,East North Central Division,2002,12,170.64
144,East North Central Division,2003,1,171.84
145,East North Central Division,2003,2,172.08
146,East North Central Division,2003,3,172.44
147,East North Central Division,2003,4,173.13
148,East North Central Division,2003,5,173.8
149,East North Central Division,2003,6,174.2
150,East North Central Division,2003,7,175.03
151,East North Central Division,2003,8,175.8
152,East North Central Division,2003,9,176.39
153,East North Central Division,2003,10,177.21
154,East North Central Division,2003,11,178.01
155,East North Central Division,2003,12,178.98
156,East North Central Division,2004,1,178.72
157,East North Central Division,2004,2,180.2
158,East North Central Division,2004,3,180.55
159,East North Central Division,2004,4,181.14
160,East North Central Division,2004,5,181.75
161,East North Central Division,2004,6,182.56
162,East North Central Division,2004,7,183.22
163,East North Central Division,2004,8,183.87
