Series Id,Year,Period,Value
CUUR0300SA0,2018,M01,239.772
CUUR0300SA0,2018,M02,241.123
CUUR0300SA0,2018,M03,241.595
CUUR0300SA0,2018,M04,242.486
CUUR0300SA0,2018,M05,243.279
CUUR0300SA0,2018,M06,243.770
CUUR0300SA0,2018,M07,243.776
CUUR0300SA0,2018,M08,243.605
CUUR0300SA0,2018,M09,243.640
CUUR0300SA0,2018,M10,244.163
CUUR0300SA0,2018,M11,243.484
CUUR0300SA0,2018,M12,242.150
CUUR0300SA0,2018,M13,242.737
CUUS0300SA0,2018,S01,242.004
CUUS0300SA0,2018,S02,243.470
CUUR0300SA0,2019,M01,242.547
CUUR0300SA0,2019,M02,243.856
CUUR0300SA0,2019,M03,245.554
CUUR0300SA0,2019,M04,246.847
CUUR0300SA0,2019,M05,246.667
CUUR0300SA0,2019,M06,246.515
CUUR0300SA0,2019,M07,247.250
CUUR0300SA0,2019,M08,246.953
CUUR0300SA0,2019,M09,246.891
CUUR0300SA0,2019,M10,247.423
CUUR0300SA0,2019,M11,247.385
CUUR0300SA0,2019,M12,247.289
CUUR0300SA0,2019,M13,246.265
CUUS0300SA0,2019,S01,245.331
CUUS0300SA0,2019,S02,247.199
CUUR0300SA0,2020,M01,248.005
CUUR0300SA0,2020,M02,248.412
CUUR0300SA0,2020,M03,248.136
CUUR0300SA0,2020,M04,246.254
CUUR0300SA0,2020,M05,245.696
CUUR0300SA0,2020,M06,247.223
CUUR0300SA0,2020,M07,248.619
CUUR0300SA0,2020,M08,249.639
CUUR0300SA0,2020,M09,250.193
CUUR0300SA0,2020,M10,250.542
CUUR0300SA0,2020,M11,250.255
CUUR0300SA0,2020,M12,250.693
CUUR0300SA0,2020,M13,248.639
CUUS0300SA0,2020,S01,247.288
CUUS0300SA0,2020,S02,249.990
CUUR0300SA0,2021,M01,252.067
CUUR0300SA0,2021,M02,253.386
CUUR0300SA0,2021,M03,255.319
CUUR0300SA0,2021,M04,257.207
CUUR0300SA0,2021,M05,259.343
CUUR0300SA0,2021,M06,261.668
CUUR0300SA0,2021,M07,263.013
CUUR0300SA0,2021,M08,263.728
CUUR0300SA0,2021,M09,264.593
CUUR0300SA0,2021,M10,267.160
CUUR0300SA0,2021,M11,268.360
CUUR0300SA0,2021,M12,269.263
CUUR0300SA0,2021,M13,261.259
CUUS0300SA0,2021,S01,256.498
CUUS0300SA0,2021,S02,266.020
CUUR0300SA0,2022,M01,271.634
CUUR0300SA0,2022,M02,274.688
CUUR0300SA0,2022,M03,278.598
CUUR0300SA0,2022,M04,279.879
CUUR0300SA0,2022,M05,283.307
CUUR0300SA0,2022,M06,287.427
CUUR0300SA0,2022,M07,287.608
CUUR0300SA0,2022,M08,287.168
CUUR0300SA0,2022,M09,287.656
CUUR0300SA0,2022,M10,288.836
CUUR0300SA0,2022,M11,288.991
CUUR0300SA0,2022,M12,288.205
CUUR0300SA0,2022,M13,283.666
CUUS0300SA0,2022,S01,279.256
CUUS0300SA0,2022,S02,288.077
